,name,time
2302,Dumbarton Shires,1
1902,Red Hugh,1
1901,Poor Soul,1
1895,Libberton Wind,1
1894,Robert Love,1
1885,William Graham,1
2342,Daniel Deveron,1
2344,Jeffrey Alexander Hart,1
2345,County Down,1
1891,Mallinger Fair,1
2346,Joseph Richard-,1
2347,Whilst Rodney,1
1890,Three Quarters,1
2348,William Adams,1
2349,Charles Monro,1
2350,Provost Gibson,1
2351,Saint Barchans Feast,1
2352,Declare Sir,1
2353,Thomas Douglas,1
2354,Anno Dem,1
2355,Jas Qnin,1
1888,My Sentence,1
1887,Vinegar Hill,1
2357,Alexander Archibald,1
2343,Barbadoes Coast,1
2341,Allan Connell,1
2324,Kind Clerk Mackenzie,1
2340,Elizebeth Taylor,1
2325,Spain Though,1
2326,Thomas Flood My,1
2327,John Corbet,1
1893,JOHN M'DONALD,1
2328,Love Me,1
2329,Alexander Lawson,1
1892,Holy Law,1
2330,John Bain,1
2331,Mr. Samuel,1
2332,John M'Naught,1
2333,Glen Fudrich,1
2334,Archibald Brownlee,1
2335,Blunder Pass,1
2336,Mr. Muir Advocate,1
2337,Magnifick State,1
2338,William Pirie,1
2339,James Franks,1
2398,Ann Eatwisle,1
2413,Master James,1
1870,Good Success,1
2483,Elizabeth Devan,1
1843,John M'Kelvie,1
2485,Thos Weir,1
1842,Eppie Blaikie,1
2486,William IV,1
2487,From Hlbernia,1
2488,Stately Works All Castles,1
1841,Take Care,1
1840,Miss Macksun,1
2489,Gavin Arbuckle,1
1838,Peter M'Lean,1
1837,Sir Hugh Montgomery,1
1836,Passes Given,1
2490,George Tait,1
1835,Heaven Bless,1
2491,Alexander Pettigrew,1
2492,John Neil,1
1834,William GIBSON Licented School,1
2484,James Ferguson,1
1844,Alexander Johnson,1
2494,Moss Hadkin,1
2482,Window Labels,1
2468,Arahibald Morison,1
2469,Royal Assent,1
1848,Gowrie Dairy CHORUS,1
2470,My Caledonian Laddie,1
2471,Strathblane Tinker,1
2472,Gospel Documents,1
2473,Till Nancy,1
2474,Penna Pennae,1
2475,William Glendinning,1
1847,Captain ALEXANDER CAMPBELL,1
2476,John Eustace,1
1846,Mr. Harvie,1
2477,Asylum Team,1
2478,Red Rod,1
2479,Archibald Bryson,1
1845,My Sister Megg,1
2481,Captain William Cunningham,1
2493,Jeweller Polling Place,1
1833,Cut Hary,1
2399,Poor Folk,1
2514,Goose Pye,1
2516,Henry Brown.23,1
2517,Ramsay Ingles,1
2518,City Marshal Culprits,1
2519,Robert Sempill,1
2520,Thomas Smith,1
1827,Rober Emond,1
2521,Edward M'Caffer,1
1826,Cornelius M,1
1825,Jenny Dang,1
1824,Angry Billows,1
2522,Fife Herald,1
2523,William M'Keohnie,1
2524,Glasgow Green,1
2525,Peter M'Arthur,1
2526,Doth Describe,1
1822,Mary Miller,1
2527,Craigie Walls,1
2515,Duag Willie,1
1829,J. Curr,1
